2023-10-03 15:42:20,923.Netflix_Producer.INFO ==================================================
2023-10-03 15:42:20,924.Netflix_Producer.INFO Today is 2023-10-03 at 03:42 PM
2023-10-03 15:42:20,924.Netflix_Producer.INFO Running on: nt Windows 10
2023-10-03 15:42:20,925.Netflix_Producer.INFO Python version:  3.9.12
2023-10-03 15:42:20,926.Netflix_Producer.INFO Python path: C:\Users\alhal\miniconda3
2023-10-03 15:42:20,926.Netflix_Producer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\Module07_Netflix
2023-10-03 15:42:20,926.Netflix_Producer.INFO ==================================================
2023-10-03 15:42:55,222.Netflix_Producer.INFO  [x] Sent b'7/11/2002,2529800'
2023-10-03 15:42:56,248.Netflix_Producer.INFO  [x] Sent b'7/12/2002,1.207857013'
2023-10-03 15:42:56,258.Netflix_Producer.INFO  [x] Sent b'7/12/2002,1.27857101'
2023-10-03 15:42:56,265.Netflix_Producer.INFO  [x] Sent b'7/12/2002,2837800'
2023-10-03 15:42:57,289.Netflix_Producer.INFO  [x] Sent b'7/15/2002,1.142856956'
2023-10-03 15:42:57,300.Netflix_Producer.INFO  [x] Sent b'7/15/2002,1.242856979'
2023-10-03 15:42:57,306.Netflix_Producer.INFO  [x] Sent b'7/15/2002,4239200'
2023-10-03 15:42:58,321.Netflix_Producer.INFO  [x] Sent b'7/16/2002,1.126428962'
2023-10-03 15:42:58,350.Netflix_Producer.INFO  [x] Sent b'7/16/2002,1.152856946'
2023-10-03 15:42:58,359.Netflix_Producer.INFO  [x] Sent b'7/16/2002,1941800'
2023-10-03 15:42:59,391.Netflix_Producer.INFO  [x] Sent b'7/17/2002,1.08928597'
2023-10-03 15:42:59,402.Netflix_Producer.INFO  [x] Sent b'7/17/2002,1.144999981'
2023-10-03 15:42:59,409.Netflix_Producer.INFO  [x] Sent b'7/17/2002,1261400'
2023-10-03 15:43:00,420.Netflix_Producer.INFO  [x] Sent b'7/18/2002,1.149286032'
